SUMLEV,COUNTY,PLACE,TRACT,BLOCK,UA,UATYPE,ZCTA,SDELM,SDSEC,SDUNI,POP100,HU100,INTPTLAT,INTPTLON,tot_pop,one_race,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,two_races,three_races,four_races,five_races,six_races
140,027,,021901,,,,,,,,3442,1461,31.0767948,-97.6646659,3442,2986,1772,701,22,111,45,335,456,3,6,0,0
140,027,,021905,,,,,,,,4749,1743,31.0652814,-97.6628009,4749,4068,2367,1006,20,295,69,311,681,0,7,0,0
140,027,,021906,,,,,,,,5732,1695,31.0490849,-97.6658164,5732,4749,2211,1795,28,352,35,328,983,5,8,2,0
140,027,,021907,,,,,,,,4924,1953,31.0648318,-97.6312264,4924,4150,2600,983,53,144,60,310,774,0,10,0,0
140,027,,021908,,,,,,,,7739,2840,31.0315746,-97.6378726,7739,6497,3760,1565,76,382,154,560,1242,3,15,0,0
140,027,,022001,,,,,,,,4168,1893,31.0868853,-97.6592782,4168,3438,1782,973,54,130,55,444,730,3,16,0,0
140,027,,022002,,,,,,,,4769,1872,31.1256858,-97.5256723,4769,4177,2619,1065,39,90,48,316,592,0,12,0,0
140,027,,022101,,,,,,,,4102,2037,31.1251129,-97.699533,4102,3447,1330,1460,52,156,57,392,655,2,11,3,0
140,027,,022103,,,,,,,,5053,1890,31.1337799,-97.6901392,5053,4264,1532,1858,38,145,102,589,789,0,6,0,0
140,027,,022104,,,,,,,,4212,2089,31.1194295,-97.6776398,4212,3652,1220,1836,29,142,52,373,560,0,7,0,0
140,027,,022105,,,,,,,,2216,890,31.1253496,-97.67369,2216,1841,754,713,37,72,30,235,375,0,5,1,0
140,027,,022200,,,,,,,,3827,1942,31.1114462,-97.6874668,3827,3322,1161,1430,44,141,67,479,505,2,0,0,0
140,027,,022300,,,,,,,,3811,2011,31.0946367,-97.6917827,3811,3232,1353,1267,60,99,55,398,579,3,12,6,0
140,027,,022401,,,,,,,,5741,2276,31.0926925,-97.7079001,5741,4798,1493,2369,48,225,96,567,943,8,5,0,0
140,027,,022402,,,,,,,,7003,2325,31.0376347,-97.6839241,7003,5692,2056,2729,31,269,143,464,1311,2,6,2,0
140,027,,022403,,,,,,,,4597,1724,31.0656367,-97.7061578,4597,3827,1539,1502,60,222,103,401,770,5,7,3,0
140,027,,022405,,,,,,,,2183,1171,31.0833392,-97.71356,2183,1814,786,693,16,102,47,170,369,0,9,1,0
140,027,,022406,,,,,,,,3979,1383,31.0692359,-97.6871118,3979,3262,1173,1521,18,250,60,240,717,6,11,0,0
140,027,,022407,,,,,,,,3931,1375,31.0586653,-97.6979194,3931,3184,1306,1350,23,150,33,322,747,0,9,0,0
140,027,,022501,,,,,,,,3573,1535,31.1026877,-97.7240921,3573,2984,1379,867,45,107,68,518,589,6,3,0,0
140,027,,022503,,,,,,,,5434,2619,31.08135,-97.7256095,5434,4576,1692,1980,62,319,60,463,858,2,9,0,0
140,027,,022504,,,,,,,,8790,2845,31.0480857,-97.7217378,8790,7371,2905,3123,83,406,144,710,1419,9,21,6,0
140,027,,022600,,,,,,,,4242,2217,31.1257066,-97.7207782,4242,3547,1327,1258,39,90,58,775,695,0,11,0,0
140,027,,022801,,,,,,,,2653,1658,31.1304095,-97.7293447,2653,2310,790,1080,27,84,25,304,343,0,4,2,0
140,027,,022900,,,,,,,,3649,2054,31.1124242,-97.7366737,3649,3144,1167,1269,39,132,46,491,505,3,8,1,0
140,027,,023001,,,,,,,,6167,2010,31.0619678,-97.757789,6167,5165,1731,2275,57,347,134,621,1002,0,28,0,0
140,027,,023002,,,,,,,,4170,1849,31.0911452,-97.7373872,4170,3556,1615,1164,41,175,43,518,614,0,1,1,0
140,027,,023103,,,,,,,,4450,1920,31.0980156,-97.7527428,4450,3781,1360,1667,40,239,87,388,669,0,7,2,0
140,027,,023104,,,,,,,,3253,1468,31.1070668,-97.755514,3253,2780,1199,1006,28,101,69,377,473,1,2,0,0
140,027,,023109,,,,,,,,3903,1485,31.0868504,-97.7666883,3903,3284,1115,1579,19,145,68,358,619,0,9,0,0
140,027,,023110,,,,,,,,3832,1613,31.0840946,-97.7537915,3832,3339,749,1997,26,113,53,401,493,2,9,0,0
140,027,,023111,,,,,,,,5279,1923,31.1090426,-97.8055532,5279,4514,1402,2186,50,266,146,464,765,3,11,4,0
140,027,,023112,,,,,,,,5062,1871,31.1010817,-97.7904556,5062,4316,1342,2203,49,161,104,457,746,2,9,2,0
140,027,,023113,,,,,,,,5033,1905,31.1040841,-97.7792911,5033,4158,1214,1963,43,226,94,618,875,7,27,0,0
140,027,,023114,,,,,,,,4350,1677,31.0998007,-97.7700772,4350,3730,1233,1753,60,167,55,462,620,2,20,1,0
140,027,,023115,,,,,,,,4688,1651,31.0908311,-97.7818555,4688,3906,1170,2028,53,174,150,331,782,2,4,0,0
140,027,,023116,,,,,,,,6188,2100,31.0848784,-97.8082247,6188,4979,1653,2346,46,229,127,578,1209,13,23,3,0
140,027,,023117,,,,,,,,5553,1864,31.0720159,-97.7782104,5553,4659,1618,2157,48,282,129,425,894,6,18,2,0
140,027,,023118,,,,,,,,7404,2331,31.0704862,-97.7994467,7404,6158,2185,2712,77,313,180,691,1246,0,10,3,0
140,027,,023201,,,,,,,,1781,714,31.1273093,-97.7552967,1781,1578,1167,212,16,62,22,99,203,0,0,1,0
140,027,,023202,,,,,,,,4915,1200,31.1272747,-97.7767498,4915,4224,2610,1035,58,124,82,315,691,1,12,2,0
140,027,,023203,,,,,,,,2607,949,31.1177584,-97.7558206,2607,2199,1317,534,29,59,41,219,408,1,5,0,0
140,027,,023204,,,,,,,,3731,383,31.1376057,-97.6690787,3731,3115,2164,455,37,177,17,265,616,0,2,0,0
140,027,,023301,,,,,,,,5266,2050,30.970882,-97.8062072,5266,4630,3624,549,51,117,32,257,636,0,9,0,0
140,027,,023302,,,,,,,,4029,1490,31.0079772,-97.7059348,4029,3387,1997,804,56,127,55,348,642,1,13,0,0
140,027,,023402,,,,,,,,4990,2032,30.9045112,-97.2971498,4990,4446,3833,125,33,15,1,439,544,0,3,2,0
140,027,,023404,,,,,,,,4376,1721,30.9037844,-97.5573946,4376,3850,3295,111,33,28,7,376,526,0,3,1,0
140,027,,023405,,,,,,,,3225,1333,30.9237335,-97.4617064,3225,2946,2789,19,13,28,1,96,279,2,3,0,0
140,027,,023406,,,,,,,,3978,1581,30.9950761,-97.5154365,3978,3464,3156,80,12,30,1,185,514,0,3,0,0
140,027,,023500,,,,,,,,2149,1146,31.1230501,-97.7332235,2149,1817,532,732,35,39,22,457,332,4,4,0,0
140,027,,980001,,,,,,,,346,0,31.0343851,-97.7885558,346,292,208,41,4,19,2,18,54,0,0,0,0
140,027,,980002,,,,,,,,0,0,31.0687798,-97.8290999,0,0,0,0,0,0,0,0,0,0,0,0,0
140,027,,980003,,,,,,,,1,2,31.1614806,-97.5990188,1,0,0,0,0,0,0,0,1,0,0,0,0
140,029,,110100,,,,,,,,3812,3015,29.4261655,-98.4905264,3812,3147,2121,303,70,153,4,496,665,0,3,0,0
140,029,,110300,,,,,,,,2401,1399,29.4143199,-98.4808476,2401,1709,1097,124,35,35,1,417,692,0,4,0,0
140,029,,110500,,,,,,,,2369,959,29.417071,-98.5090798,2369,1627,995,160,20,44,0,408,742,0,3,0,0
140,029,,110600,,,,,,,,7284,1496,29.429211,-98.5078374,7284,6351,3311,891,52,16,3,2078,933,0,0,0,0
140,029,,110700,,,,,,,,1210,717,29.4389386,-98.5036913,1210,873,501,55,17,7,2,291,337,0,3,1,0
140,029,,111000,,,,,,,,2356,1622,29.4403477,-98.4708688,2356,1741,1122,127,39,65,3,385,615,0,5,1,0
140,029,,111100,,,,,,,,4099,3097,29.4406247,-98.4880242,4099,3331,2447,222,50,147,3,462,768,6,0,0,0
140,029,,120100,,,,,,,,7464,984,29.4608965,-98.43834,7464,6679,4235,1215,72,473,53,631,785,0,7,0,0
140,029,,120301,,,,,,,,2989,1539,29.484551,-98.4624194,2989,2547,2242,47,11,105,1,141,442,0,2,0,0
